0           , 1.134
1           , 1.140
2           , 0.933
3           , 0.847
4           , 0.811
5           , 0.788
6           , 0.752
7           , 0.725
8           , 0.703
9           , 0.684
10          , 0.672
11          , 0.653
12          , 0.644
13          , 0.621
14          , 0.612
15          , 0.599
16          , 0.596
17          , 0.586
18          , 0.558
19          , 0.547
20          , 0.529
21          , 0.513
22          , 0.506
23          , 0.490
24          , 0.483
25          , 0.476
26          , 0.426
27          , 0.428
28          , 0.399
29          , 0.398
30          , 0.365
31          , 0.338
32          , 0.343
33          , 0.322
34          , 0.315
35          , 0.310
36          , 0.307
37          , 0.271
38          , 0.364
39          , 0.260
40          , 0.253
41          , 0.254
42          , 0.232
43          , 0.232
44          , 0.242
45          , 0.224
46          , 0.213
47          , 0.225
48          , 0.235
49          , 0.209
50          , 0.184
51          , 0.347
52          , 0.189
53          , 0.211
54          , 0.202
55          , 0.196
56          , 0.167
57          , 0.162
58          , 0.169
59          , 0.168
60          , 0.157
61          , 0.165
62          , 0.144
63          , 0.178
64          , 0.156
65          , 0.169
66          , 0.190
67          , 0.169
68          , 0.110
69          , 0.151
70          , 0.170
71          , 0.147
72          , 0.155
73          , 0.142
74          , 0.160
75          , 0.162
76          , 0.146
77          , 0.117
78          , 0.132
79          , 0.137
80          , 0.133
81          , 0.131
82          , 0.144
83          , 0.147
84          , 0.137
85          , 0.134
86          , 0.141
87          , 0.125
88          , 0.131
89          , 0.121
90          , 0.170
91          , 0.128
92          , 0.129
93          , 0.124
94          , 0.116
95          , 0.113
96          , 0.157
97          , 0.116
98          , 0.115
99          , 0.147
100         , 0.116
101         , 0.109
102         , 0.146
103         , 0.146
104         , 0.107
105         , 0.122
106         , 0.127
107         , 0.127
108         , 0.110
109         , 0.098
110         , 0.121
111         , 0.119
112         , 0.106
113         , 0.115
114         , 0.118
115         , 0.118
116         , 0.061
117         , 0.096
118         , 0.106
119         , 0.105
120         , 0.106
121         , 0.110
122         , 0.103
123         , 0.134
124         , 0.087
125         , 0.103
126         , 0.104
127         , 0.119
128         , 0.106
129         , 0.115
130         , 0.094
131         , 0.104
132         , 0.095
133         , 0.115
134         , 0.098
135         , 0.092
136         , 0.080
137         , 0.101
138         , 0.104
139         , 0.090
140         , 0.090
141         , 0.088
142         , 0.068
143         , 0.079
144         , 0.089
145         , 0.097
146         , 0.092
147         , 0.096
148         , 0.089
149         , 0.087
150         , 0.081
151         , 0.088
152         , 0.085
153         , 0.087
154         , 0.093
155         , 0.060
156         , 0.097
157         , 0.094
158         , 0.083
159         , 0.085
160         , 0.086
161         , 0.071
162         , 0.088
163         , 0.096
164         , 0.079
165         , 0.119
166         , 0.085
167         , 0.080
168         , 0.076
169         , 0.101
170         , 0.075
171         , 0.093
172         , 0.082
173         , 0.090
174         , 0.088
175         , 0.084
176         , 0.084
177         , 0.078
178         , 0.102
179         , 0.086
180         , 0.077
181         , 0.089
182         , 0.098
183         , 0.078
184         , 0.098
185         , 0.083
186         , 0.084
187         , 0.069
188         , 0.075
189         , 0.069
190         , 0.078
191         , 0.070
192         , 0.063
193         , 0.086
194         , 0.033
